date,value,type
6:06:06,3556,3
6:06:07,2670,2
6:06:08,2402,1
6:06:09,3644,1
6:06:09,3803,2
6:06:09,4126,3
6:06:12,1710,2
6:06:15,2218,3
6:06:17,2194,1
6:06:17,1981,3
6:06:20,2787,4
6:06:22,4041,3
6:06:22,3929,4
6:06:23,4432,2
6:06:24,4433,3
6:06:25,4354,1
6:06:28,2573,4
6:06:29,3764,1
6:06:36,2392,4
6:06:37,4418,3
6:06:38,3348,3
6:06:38,3349,4
6:06:42,2718,4
6:06:43,1519,1
6:06:44,1524,4
6:06:47,2649,3
6:06:48,3820,2
6:06:49,1959,4
6:06:52,2285,1
6:06:53,3835,2
6:06:53,2612,3
6:06:54,1771,4
6:06:58,2712,3
6:06:58,3810,1
6:06:59,3087,2
6:06:59,3239,3
6:07:00,3381,3
6:07:02,3546,4
6:07:03,1953,3
6:07:04,4505,2
6:07:04,3783,1
6:07:05,2309,3
6:07:05,3886,1
6:07:05,2197,1
6:07:11,2124,2
6:07:11,1592,1
6:07:13,1501,2
6:07:14,4278,4
6:07:15,2771,2
6:07:16,1719,4
6:07:18,3948,1
6:07:19,2271,2
6:07:20,3868,3
6:07:23,2427,1
6:07:23,3947,3
6:07:24,1801,2
6:07:24,1962,1
6:07:28,4314,1
6:07:39,4016,4
6:07:40,2258,2
6:07:41,3144,1
6:07:42,2031,3
6:07:42,3887,2
6:07:46,4477,2
6:07:46,3806,3
6:07:46,1481,1
6:07:47,2643,4
6:07:47,4537,1
6:07:49,3660,2
6:07:51,4546,2
6:07:51,2806,3
6:07:54,4402,1
6:07:55,3986,3
6:07:55,1597,2
6:07:56,1473,1
6:07:57,1478,1
6:07:57,4373,2
6:07:58,3596,1
6:08:00,4074,1
6:08:01,4556,2
6:08:02,2636,2
6:08:04,2483,2
6:08:05,2874,3
6:08:07,2843,4
6:08:08,3772,1
6:08:15,4361,3
6:08:15,2317,3
6:08:15,1776,1
6:08:18,1565,1
6:08:18,1589,1
6:08:18,4328,4
6:08:20,4276,1
6:08:20,2100,2
6:08:21,3928,2
6:08:22,4445,3
6:08:22,1481,3
6:08:23,4079,2
6:08:24,2759,3
6:08:24,2387,3
6:08:28,2200,1
6:08:28,2220,3
6:08:31,2961,2
6:08:31,2382,1
6:08:35,2278,2
6:08:35,2291,2
6:08:38,4294,1
6:08:41,3772,2
6:08:41,3238,3
6:08:45,3926,2
6:08:45,3514,3
6:08:46,2684,4
6:08:46,4531,4
6:08:47,3663,2
6:08:47,4566,1
6:08:49,4282,2
6:08:52,4253,2
6:08:53,3276,3
6:08:55,2929,3
6:08:55,3509,2
6:08:55,1627,2
6:08:56,2616,3
6:08:56,2661,1
6:08:56,3935,1
6:08:56,4515,1
6:08:58,2037,1
6:08:59,1663,1
6:09:00,1608,1
6:09:00,3944,2
6:09:02,2789,1
6:09:02,3822,1
6:09:05,3392,3
6:09:08,3393,4
6:09:08,4356,4
6:09:10,1618,4
6:09:12,2212,4
6:09:13,1854,1
6:09:13,2797,3
6:09:15,3369,2
6:09:16,3369,2
6:09:18,1549,2
6:09:18,1802,1
6:09:19,4446,2
6:09:20,3492,2
6:09:20,3949,3
6:09:22,2747,3
6:09:29,2803,2
6:09:30,4565,2
6:09:31,2583,1
6:09:32,1495,2
6:09:32,4272,2
6:09:33,3046,2
6:09:33,2758,2
6:09:36,2584,3
6:09:37,3403,1
6:09:40,2442,2
6:09:41,4412,3
6:09:42,3011,2
6:09:43,4228,4
6:09:44,3168,1
6:09:45,4393,1
6:09:45,1680,4
6:09:47,1478,1
6:09:48,4442,2
6:09:49,4506,1
6:09:50,4394,2
6:09:50,3294,3
6:09:51,2632,1
6:09:55,3258,3
6:09:55,2369,1
6:09:57,4400,1
6:09:58,4019,3
6:09:59,4362,3
6:10:00,3300,1
6:10:03,2147,2
6:10:03,3278,1
6:10:04,3096,4
6:10:04,3572,1
6:10:04,2234,3
6:10:10,2102,4
6:10:12,2354,4
6:10:12,2266,4
6:10:13,2747,4
6:10:16,1983,1
6:10:17,3490,4
6:10:17,3001,3
6:10:18,4215,3
6:10:19,4029,3
6:10:20,2762,3
6:10:20,3002,3
6:10:21,2384,3
6:10:21,2945,2
6:10:22,4431,1
6:10:24,2191,1
6:10:26,1636,2
6:10:26,4464,3
6:10:26,4405,1
6:10:29,4550,4
6:10:31,2185,1
6:10:32,4414,2
6:10:34,1600,4
6:10:36,3788,3
6:10:36,4084,3
6:10:37,2909,3
6:10:37,3593,4
6:10:37,4338,3
6:10:43,3425,3
6:10:44,2201,1
6:10:45,3852,2
6:10:46,2876,2
6:10:46,3426,2
6:10:48,2947,2
6:10:49,2083,2
6:10:52,1651,2
6:10:53,2078,2
6:10:56,3539,4
6:10:57,3503,1
6:10:57,4069,1
