date,type,value
05-12-19 6:06:06,3,3556
05-12-19 6:06:07,2,2670
05-12-19 6:06:08,1,2402
05-12-19 6:06:09,1,3644
05-12-19 6:06:09,2,3803
05-12-19 6:06:09,3,4126
05-12-19 6:06:12,2,1710
05-12-19 6:06:15,3,2218
05-12-19 6:06:17,1,2194
05-12-19 6:06:17,3,1981
05-12-19 6:06:20,4,2787
05-12-19 6:06:22,3,4041
05-12-19 6:06:22,4,3929
05-12-19 6:06:23,2,4432
05-12-19 6:06:24,3,4433
05-12-19 6:06:25,1,4354
05-12-19 6:06:28,4,2573
05-12-19 6:06:29,1,3764
05-12-19 6:06:36,4,2392
05-12-19 6:06:37,3,4418
05-12-19 6:06:38,3,3348
05-12-19 6:06:38,4,3349
05-12-19 6:06:42,4,2718
05-12-19 6:06:43,1,1519
05-12-19 6:06:44,4,1524
05-12-19 6:06:47,3,2649
05-12-19 6:06:48,2,3820
05-12-19 6:06:49,4,1959
05-12-19 6:06:52,1,2285
05-12-19 6:06:53,2,3835
05-12-19 6:06:53,3,2612
05-12-19 6:06:54,4,1771
05-12-19 6:06:58,3,2712
05-12-19 6:06:58,1,3810
05-12-19 6:06:59,2,3087
05-12-19 6:06:59,3,3239
05-12-19 6:07:00,3,3381
05-12-19 6:07:02,4,3546
05-12-19 6:07:03,3,1953
05-12-19 6:07:04,2,4505
05-12-19 6:07:04,1,3783
05-12-19 6:07:05,3,2309
05-12-19 6:07:05,1,3886
05-12-19 6:07:05,1,2197
05-12-19 6:07:11,2,2124
05-12-19 6:07:11,1,1592
05-12-19 6:07:13,2,1501
05-12-19 6:07:14,4,4278
05-12-19 6:07:15,2,2771
05-12-19 6:07:16,4,1719
05-12-19 6:07:18,1,3948
05-12-19 6:07:19,2,2271
05-12-19 6:07:20,3,3868
05-12-19 6:07:23,1,2427
05-12-19 6:07:23,3,3947
05-12-19 6:07:24,2,1801
05-12-19 6:07:24,1,1962
05-12-19 6:07:28,1,4314
05-12-19 6:07:39,4,4016
05-12-19 6:07:40,2,2258
05-12-19 6:07:41,1,3144
05-12-19 6:07:42,3,2031
05-12-19 6:07:42,2,3887
05-12-19 6:07:46,2,4477
05-12-19 6:07:46,3,3806
05-12-19 6:07:46,1,1481
05-12-19 6:07:47,4,2643
05-12-19 6:07:47,1,4537
05-12-19 6:07:49,2,3660
05-12-19 6:07:51,2,4546
05-12-19 6:07:51,3,2806
05-12-19 6:07:54,1,4402
05-12-19 6:07:55,3,3986
05-12-19 6:07:55,2,1597
05-12-19 6:07:56,1,1473
05-12-19 6:07:57,1,1478
05-12-19 6:07:57,2,4373
05-12-19 6:07:58,1,3596
05-12-19 6:08:00,1,4074
05-12-19 6:08:01,2,4556
05-12-19 6:08:02,2,2636
05-12-19 6:08:04,2,2483
05-12-19 6:08:05,3,2874
05-12-19 6:08:07,4,2843
05-12-19 6:08:08,1,3772
05-12-19 6:08:15,3,4361
05-12-19 6:08:15,3,2317
05-12-19 6:08:15,1,1776
05-12-19 6:08:18,1,1565
05-12-19 6:08:18,1,1589
05-12-19 6:08:18,4,4328
05-12-19 6:08:20,1,4276
05-12-19 6:08:20,2,2100
05-12-19 6:08:21,2,3928
05-12-19 6:08:22,3,4445
05-12-19 6:08:22,3,1481
05-12-19 6:08:23,2,4079
05-12-19 6:08:24,3,2759
05-12-19 6:08:24,3,2387
05-12-19 6:08:28,1,2200
05-12-19 6:08:28,3,2220
05-12-19 6:08:31,2,2961
05-12-19 6:08:31,1,2382
05-12-19 6:08:35,2,2278
05-12-19 6:08:35,2,2291
05-12-19 6:08:38,1,4294
05-12-19 6:08:41,2,3772
05-12-19 6:08:41,3,3238
05-12-19 6:08:45,2,3926
05-12-19 6:08:45,3,3514
05-12-19 6:08:46,4,2684
05-12-19 6:08:46,4,4531
05-12-19 6:08:47,2,3663
05-12-19 6:08:47,1,4566
05-12-19 6:08:49,2,4282
05-12-19 6:08:52,2,4253
05-12-19 6:08:53,3,3276
05-12-19 6:08:55,3,2929
05-12-19 6:08:55,2,3509
05-12-19 6:08:55,2,1627
05-12-19 6:08:56,3,2616
05-12-19 6:08:56,1,2661
05-12-19 6:08:56,1,3935
05-12-19 6:08:56,1,4515
05-12-19 6:08:58,1,2037
05-12-19 6:08:59,1,1663
05-12-19 6:09:00,1,1608
05-12-19 6:09:00,2,3944
05-12-19 6:09:02,1,2789
05-12-19 6:09:02,1,3822
05-12-19 6:09:05,3,3392
05-12-19 6:09:08,4,3393
05-12-19 6:09:08,4,4356
05-12-19 6:09:10,4,1618
05-12-19 6:09:12,4,2212
05-12-19 6:09:13,1,1854
05-12-19 6:09:13,3,2797
05-12-19 6:09:15,2,3369
05-12-19 6:09:16,2,3369
05-12-19 6:09:18,2,1549
05-12-19 6:09:18,1,1802
05-12-19 6:09:19,2,4446
05-12-19 6:09:20,2,3492
05-12-19 6:09:20,3,3949
05-12-19 6:09:22,3,2747
05-12-19 6:09:29,2,2803
05-12-19 6:09:30,2,4565
05-12-19 6:09:31,1,2583
05-12-19 6:09:32,2,1495
05-12-19 6:09:32,2,4272
05-12-19 6:09:33,2,3046
05-12-19 6:09:33,2,2758
05-12-19 6:09:36,3,2584
05-12-19 6:09:37,1,3403
05-12-19 6:09:40,2,2442
05-12-19 6:09:41,3,4412
05-12-19 6:09:42,2,3011
05-12-19 6:09:43,4,4228
05-12-19 6:09:44,1,3168
05-12-19 6:09:45,1,4393
05-12-19 6:09:45,4,1680
05-12-19 6:09:47,1,1478
05-12-19 6:09:48,2,4442
05-12-19 6:09:49,1,4506
05-12-19 6:09:50,2,4394
05-12-19 6:09:50,3,3294
05-12-19 6:09:51,1,2632
05-12-19 6:09:55,3,3258
05-12-19 6:09:55,1,2369
05-12-19 6:09:57,1,4400
05-12-19 6:09:58,3,4019
05-12-19 6:09:59,3,4362
05-12-19 6:10:00,1,3300
05-12-19 6:10:03,2,2147
05-12-19 6:10:03,1,3278
05-12-19 6:10:04,4,3096
